username,num_of_stars,review,time
Indi67,4,"Love the shoe. Size up by one size, had to send mine back but returns are super easy","April 9, 2024"
Gersman,5,Great quality and value for money. Would recommend this to anyone.,"April 9, 2024"
Hannah,5,"They are definitely a lighter tan they look in the photos online, but still cute &amp; a great fit. I wear a women's size 8 and ordered the size 7 in these &amp; they fit perfect.","April 9, 2024"
Zewe,1,"Got the pair with silver stripes but no good, unfortunately. Not sure what adidas was thinking with the tongue design - it's hard, plasticky, and super long. It digs in the ankle and just feels and looks cheap/terrible. There are much better models out there, the gazelles with plastic tongue definitely don't do it for me. Would not recommend.","April 9, 2024"
Srp1,5,Great fit and comfortable. Quality is good too. Would buy again,"April 9, 2024"
Jchristie,5,Would order again perfect fit and look good worth the money,"April 9, 2024"
Beck,5,works with basically any outfit and are comfortable,"April 9, 2024"
Zewe,1,"Got the pair with silver stripes but no good, unfortunately. Not sure what adidas was thinking with the tongue design - it's hard, plasticky, and super long. It digs in the ankle and just feels and looks cheap/terrible. There are much better models out there, the gazelles with plastic tongue definitely don't do it for me. Would not recommend.","April 9, 2024"
Srp1,5,Great fit and comfortable. Quality is good too. Would buy again,"April 9, 2024"
Jchristie,5,Would order again perfect fit and look good worth the money,"April 9, 2024"
Beck,5,works with basically any outfit and are comfortable,"April 9, 2024"
17Jupo,5,Really comfy and go with any outfit. I would recommend these.,"April 9, 2024"
Grone,5,Because it has the Peruvian logo and it’s what I being looking for long time and finally you made it,"April 8, 2024"
Waso68,5,"They are simply perfect, I love how they fit and how comfortable they are","April 8, 2024"
Jacob,5,Color is exactly what I was looking for to finish my outfit,"April 8, 2024"
Spud,5,I do quite abit of walking  and these were comfy from the first time I put them on better with the gum colour sole.  Doesn’t look to get so dirty,"April 7, 2024"
Di593,4,"Simple style. Can wear with just about anything. Personally I felt this shoe ran a little small. This is my first pair of adidas. I usually wear Converse or Vans. I wear a 7.5  in women’s (5.5 in men’s). I ordered a 7.5 and they were a bit too snug. Had to exchange them for a size 8 and they fit perfectly now.
The only thing that I Dislike about this shoe is the plastic tongue. It creaks/squeaks all the time. And the shoe does have glue in a couple spots. It’s very noticeable since the shoe is all black but once they are on it’s not very noticeable","April 7, 2024"
Jacob,5,Color is exactly what I was looking for to finish my outfit,"April 8, 2024"
Spud,5,I do quite abit of walking  and these were comfy from the first time I put them on better with the gum colour sole.  Doesn’t look to get so dirty,"April 7, 2024"
Di593,4,"Simple style. Can wear with just about anything. Personally I felt this shoe ran a little small. This is my first pair of adidas. I usually wear Converse or Vans. I wear a 7.5  in women’s (5.5 in men’s). I ordered a 7.5 and they were a bit too snug. Had to exchange them for a size 8 and they fit perfectly now.
The only thing that I Dislike about this shoe is the plastic tongue. It creaks/squeaks all the time. And the shoe does have glue in a couple spots. It’s very noticeable since the shoe is all black but once they are on it’s not very noticeable","April 7, 2024"
Jeremy,4,"Squeaky tongue, but otherwise perfect. Love the colour.","April 7, 2024"
TMontana,3,shoe size was smaller than expected......................,"April 7, 2024"
Pippa,5,"Cannot believe just how comfortable the Gazelle are! Love the retro colour, too.","April 7, 2024"
Dani,3,"Die Schuhe quietschen beim Gehen, die Zunge ist sehr hart und aus ungünstigem Material. Optisch top.","April 7, 2024"
Suze,5,"Arrived super quick, absolutely perfect.  Will be buying more","April 7, 2024"
SC2K,5,"Tried many and this was the winner.  Based on the size guide I would be a 13.5 US, mens but many of these Adidas don't offer but a 13 or 14.  I tried the Samba OG, Special, Stan Smith and finally the Gazelle.  Gotta say the Gazelle is the best fitting for my foot type.  It's definitely wider than the Spezial and Stan Smith which felt very narrow.  The Gazelle felt comfortable right out of the box and would definitely recommend.  Glad I finally found a pair that not only feel comfortable but look very stylish.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
SC2K,5,"Tried many and this was the winner.  Based on the size guide I would be a 13.5 US, mens but many of these Adidas don't offer but a 13 or 14.  I tried the Samba OG, Special, Stan Smith and finally the Gazelle.  Gotta say the Gazelle is the best fitting for my foot type.  It's definitely wider than the Spezial and Stan Smith which felt very narrow.  The Gazelle felt comfortable right out of the box and would definitely recommend.  Glad I finally found a pair that not only feel comfortable but look very stylish.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
Sarah,5,Loved the color! Super comfortable and stylish!!!!,"April 7, 2024"
Josi,5,Colour great. Excellent shoes so comfortable and stylish,"April 7, 2024"
JC777LV,5,"Arriba Peru!
These are great for fans of Peru’ national team.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
Sarah,5,Loved the color! Super comfortable and stylish!!!!,"April 7, 2024"
Josi,5,Colour great. Excellent shoes so comfortable and stylish,"April 7, 2024"
JC777LV,5,"Arriba Peru!
These are great for fans of Peru’ national team.","April 7, 2024"
CMcasa,5,Love the color &amp; the support is nice - no need for inserts (yet)  I like the neutral color that works for my business casual wardrobe,"April 6, 2024"
RedDevil20,5,Fits well and matches my wardrobe during game days,"April 6, 2024"
Cshadow,5,Beautiful show. Great fit. The colors are a perfect match to the jacket,"April 6, 2024"
Gaily,5,This product arrived nicely packaged and fit true to size. Looks great especially with jeans and chinos. Looking forward to getting slot of wear out of them in the summer months.,"April 6, 2024"
Nemia,5,So comfortable and fashionable. I love the color and the style.,"April 6, 2024"
Dozr77,5,"Great colour and very confortable, no need to break them.","April 6, 2024"
RedDevil20,5,Fits well and matches my wardrobe during game days,"April 6, 2024"
Cshadow,5,Beautiful show. Great fit. The colors are a perfect match to the jacket,"April 6, 2024"
Gaily,5,This product arrived nicely packaged and fit true to size. Looks great especially with jeans and chinos. Looking forward to getting slot of wear out of them in the summer months.,"April 6, 2024"
Nemia,5,So comfortable and fashionable. I love the color and the style.,"April 6, 2024"
Dozr77,5,"Great colour and very confortable, no need to break them.","April 6, 2024"
KevinS,4,"Very comfortable right out the box, purchased these for a trip and expect todo some walking but also wanted a sneaker that would look good enough to wear with chinos and a Botton down shirt. Would prefer a softer leather tongue, hence 4 stars instead of 5.","April 5, 2024"
SteelcityG,4,The color and quality is great. But the sides of the white sole quickly turns black from normal wear.,"April 5, 2024"
Alex,4,"Good quality shoes for reasonable price. Stylish, great looking, light and comfy.","April 5, 2024"
Kt30,5,"True to size, very comfortable and supportive. Delivery was fast.","April 5, 2024"
Tosh1901,5,Adidas Gazelle’s are extremely comfortable and stylish.. I feel like a million dollars whilst wearing them! I would highly recommend them and they come in lots of fabulous colours!,"April 5, 2024"
SteelcityG,4,The color and quality is great. But the sides of the white sole quickly turns black from normal wear.,"April 5, 2024"
Alex,4,"Good quality shoes for reasonable price. Stylish, great looking, light and comfy.","April 5, 2024"
Kt30,5,"True to size, very comfortable and supportive. Delivery was fast.","April 5, 2024"
Tosh1901,5,Adidas Gazelle’s are extremely comfortable and stylish.. I feel like a million dollars whilst wearing them! I would highly recommend them and they come in lots of fabulous colours!,"April 5, 2024"
Emas,5,Very comfortable and loved the way it goes with every outfit.,"April 5, 2024"
FBarnosa,5,Will buy more colors and a pair for my daughter as well.,"April 5, 2024"
Mateorrr,3,Very good abd good and great yes very good i love it,"April 4, 2024"
Moggy,5,I have been wearing Gazelle's since the 70s and 80s. They are my favourite trainer and I am so happy that they are now available in lovely colours. I have been wearing my burgundy red ones every single day. I also like the arch support which make them very comfortable. I am already planning to buy another pair in a different colour.,"April 4, 2024"
Rob*,5,Got these for my wife for playground duty at school and she is proper made up with them,"April 4, 2024"
Daniel,5,"Good product, good price, great company, highly recommend","April 4, 2024"
Stephv,5,Would love in more colors.  Maybe waterproof ones.,"April 4, 2024"
Onelovebrisson,1,Made well but I ordered 6.5 to small returned it for a 7 an it’s too big. I’m over it,"April 4, 2024"
RabDaddy33,5,Love this shoe. Wish there were more colorways - wore them all day at the Amusement Park and no discomfort. All day fun!,"April 3, 2024"
Jamie,5,"Great trainers, wanted a white leather pair instead of usual suede and these were a good choice","April 3, 2024"
Chris,5,Love it! The size fits slightly smaller. I am true size 6 usually in every shoe. But I wear a 5.5 in this one and samba.,"April 3, 2024"
Loz1957,1,Uncomfortable and the tongue rubbed the top of my foot. The tongue is too long. Such a shame as they are so nice to look at but just not comfortable.,"April 3, 2024"
BAG8,5,Very authentic color and velvet green cover made it looks elegant,"April 3, 2024"
TheNu77,5,"Comfortable, casual. Its suddle yet fashionable. I love them!","April 3, 2024"
IanO,5,"Very stylish shoe.  Like a lot of the older style shoes, it perhaps lacks a little of the ultra comfort of modern shoes but, more than makes up for it in terms of look and quality of suede.","April 3, 2024"
Cheerfullight,5,Very comfortable and I love the colour combination. Good that I could purchase my exact size - not all manufacturers do half sizes.,"April 3, 2024"
Loz1957,1,Uncomfortable and the tongue rubbed the top of my foot. The tongue is too long. Such a shame as they are so nice to look at but just not comfortable.,"April 3, 2024"
BAG8,5,Very authentic color and velvet green cover made it looks elegant,"April 3, 2024"
TheNu77,5,"Comfortable, casual. Its suddle yet fashionable. I love them!","April 3, 2024"
IanO,5,"Very stylish shoe.  Like a lot of the older style shoes, it perhaps lacks a little of the ultra comfort of modern shoes but, more than makes up for it in terms of look and quality of suede.","April 3, 2024"
Cheerfullight,5,Very comfortable and I love the colour combination. Good that I could purchase my exact size - not all manufacturers do half sizes.,"April 3, 2024"
Bec91,5,Currently one of the most wanted models and the colour is especially en vogue for spring,"April 3, 2024"
Meggi,5,"great looking, super comfy, quality shoes! very happy!","April 3, 2024"
Janpel,4,"I thought the colour of these Gazelle’s would be deeper, as pictured, but they’re more of a dusty burgundy. I know suede is difficult to photograph accurately. Still really like them.","April 3, 2024"
Akl11,5,These shoes are super comfortable and easy to style.,"April 3, 2024"
