username,num_of_stars,review,time
yeelam520,5,Very comfortable and nice material! Good for day to day wear!,2024-04-04
C. Mc,5,"Although very pricey, these sweatpants are good quality and there is a size small enough to fit my 5'7"" very thin daughter! Thank you Roots for having this size!!",2024-04-02
Yutta,1,"I like the pants and they fit really well. However the first day I wore them, I noticed that there was elastic in the bottom and it
had not been tightened. Therefore they were held up with shoes and slippers but dragged on the ground with bare feet. I don’t return things by mail, only if there’s a store in town. I’m wearing them but I’m disappointed, especially for the price.",2024-04-02
cperry,5,"I love this pair of pants. They are very comfortable here in Southern California whether the weather is cool or warm. They wash easily. I had knee surgery earlier this year, and these pants were easy to slip into. My knee is fine now, but I continue to wear them. They go well with a variety of tops",2024-04-01
Sherryberry,5,"Purchased these for my daughter and she loves these comfy sweats! She is 5’9” and these sweats are a great length. The balsam green is a beautiful soft green, perfect for spring.",2024-04-02
Seva,3,Very comfortable but fit quite big and stretch more than I’d like.,2024-03-31
Dissatisfied2024,1,"These sweatpants are not the roots quality you are expecting, they do not keep their shape and stretch out very quickly with minimal wear. It’s unfortunate. Customer service was not able to help me at this time. I wish I had purchased the (non organic) original sweatpants.",2024-03-29
A.Boone,5,I bought these sweatpants over 10 years ago and I am still wearing them. They are pricey for just sweatpants but they will definitely stand the test of time. Roots has the BEST sweatpants ever!,2024-03-23
Cathie W.,5,"Comfortable, great fabric, excellent quality. Only con is that is really attracts lint",2024-03-22
Ladyasdcdgb,2,I’m sure they’re great I just haven’t received them yet,2024-03-13
Terralyn,1,Thin material wouldn’t recommend for winter and starting to pill,2024-03-10
AmWy,2,"Fabric is much thinner than I would expect from roots. It’s still nice and soft inside, but feels cheap and pills and pulls easily on the outside. Not something I want to have to wash often because I’m not sure it will stand up to regular washing over time, which means I can’t wear it as often, so disappointing for the price. The reason I buy Roots is because it lasts…I likely won’t purchase this line again.",2024-03-10
sgiggles,5,Great quality. Soft. Comfy. My second pair of the same sweat pants.,2024-03-08
TLAD,5,The sweatpants are soft and very comfortable. I'm happy with the purchase!,2024-03-06
Shrinkifacation!,4,"Both sizing and composition different from previous sweatpants. I ordered the same exact size and style and they are WAY smaller. I’ll have to size up one or maybe two sizes, or switch to a different style as the legs seem a lot slimmer than previous. Will have to go in store to try on unfortunately which really defeats the purpose of the online order! They seem cozy and",2024-03-03
Tracy A,5,It was time to retire my old Roots sweatpants and these were a good choice,2024-02-29
BDens,5,Love these! Wish I had bought them sooner. Very comfy and good fit.,2024-02-27
Mary Beaulieu,5,I have four pair of these sweatpants. I wear them almost every day - so comfortable - and they look nice.,2024-02-27
SHMC,5,Great fit and always reliable. I have many pairs in a variety of colours.,2024-02-25
Apple99,4,"I bought the original salt & pepper fit in the winter of 2022, and only use it in winters so I’ve gotten about 12mths of usage out of these expensive pants before they wore out badly.
Liked the fit and warmth in winter but expected better quality from a brand like Roots.",2024-02-26
