username,num_of_stars,review,time
Jibz,5,I love this jacket so much!! Perfect for a rainy spring dogwalk! And easy to pack up if you get too warm and the rain stops :),2 days ago
Coastal Gal,5,[This review was collected as part of a promotion.] Nice rain jacket. Wasn’t sure on size but went with the larger size so I could layer and is perfect.,a month ago
Kathy0946,5,"Fit runs SMALL, especially if you might wear it over a long sleeve shirt and a sweater or flannel shirt.",a month ago
Shelly81,5,[This review was collected as part of a promotion.] This is a very comfortable jacket that will keep you dry. I am very pleased with my purchase.,2 months ago
Amanda D,5,[This review was collected as part of a promotion.] Gorgeous color and fit! Such high quality! Can’t wait to wear it. True to size!!,2 months ago
ctequestrian,5,"[This review was collected as part of a promotion.] I haven't put this jacket to the full test of a drenching rain yet, but it's breathable and waterproof on the initial wear. I wish it was a little longer, but other than that, it seems like a great choice.",2 months ago
Mel's Husband,5,[This review was collected as part of a promotion.] Great summer rain jacket in a great color. Helps block the wind and keep you dry.,2 months ago
Anonymous,5,[This review was collected as part of a promotion.] My daughter is an avid walker and needed a light weight but reliable rain proof jacket. She especially likes the chin and hood cap for complete coverage.,3 months ago
Columbia Kid,5,Very comfortable fit. Nice colour and fit. Only wore it once after Christmas but it provided protection in a light rain.,3 months ago
LBH,5,"[This review was collected as part of a promotion.] This is the third Columbia rain jacket I’ve purchased in the last 6 months. This one was a gift for my daughter. The quality and design is always consistent. It is the only breathable, waterproof raincoat I will ever own! Love the Acadia line.",3 months ago
Marline,5,"[This review was collected as part of a promotion.] This jacket is sleek, perfect for the rain and wind. Fits true to size. Can dress it up or down!",3 months ago
Mark,5,[This review was collected as part of a promotion.] Gave this to my Wife for Xmas. She LOVES is and it is perfect for everything she wanted.,3 months ago
Terry,5,[This review was collected as part of a promotion.] This appears to be a well-made rain jacket. The lining seems adequate for being waterproof. It’s very lightweight which is what I wanted. It is true to size.,3 months ago
Ouarda amimer,5,"[This review was collected as part of a promotion.] I bought the jacket for my daughter, fit to size great quality and material. She loved it.",3 months ago
momof3,5,I was so excited to get this jacket but the large fits like a medium. So I am returning it.,4 months ago
M,5,[This review was collected as part of a promotion.] Oh my goodness. The raincoat is amazing!!! I loved the pockets and it was cozy when I layered myself with other sweaters. The color is amazing and the fit was wonderful,4 months ago
Becca,5,[This review was collected as part of a promotion.] This rain jacket is perfect used in downpours at a theme park and out camping and it kept me dry.,4 months ago
Barb,5,"[This review was collected as part of a promotion.] Very nice jacket. I haven't needed it yet, as the rain ended before it arrived 🙂 I love the slightly longer fit, and ordered one size too large to fit it over a sweatshirt on cold rainy days.",5 months ago
M S P,5,[This review was collected as part of a promotion.] Quality Rain Jacket. Beautiful Cobalt Blue Color Shipping Time was as quoted when I ordered.,5 months ago
Michelle1988776,5,"Perfect for rainy fall days, quickly dries and protects against the wind.",5 months ago
KL,5,I love this jacket! It takes a beating with the rain in Oregon and not once have I’ve been wet. This is my 2nd one as I wore out the other one,5 months ago
Shares S,5,"Perfect jacket for rainy weather. It’s breathable material makes it more comfortable, not like a plastic bag.",5 months ago
DD in Carmel,5,"I wore this jacket everyday for two weeks while we were in Scotland (September 2023), and it was absolutely perfect! Temperature was between 55 and 65 Fahrenheit everyday, with rain everyday too. I wore a T-shirt and a scarf and was quite comfortable. The hood is fantastic and did not really need an umbrella at all. My husband got the men's version before we left too, and he was quite happy with it as well. Nice wind-breaker too.",6 months ago
Dodi,5,Just what I was looking for! I had a similar one that was my go to jacket. I lost it in May while on vacation. I’ve been searching but haven’t found the same one. This one is really close. Good fit and looks good. My only complaint is it took a little longer to get here than expected. But all good!,6 months ago
Anonymous,5,This jacket is well made and exactly as pictured and described. I bought my normal size and it’s a good fit. I’m expecting to wear light layers under in moderate weather. I love the color 🩷,6 months ago
Karosett,5,"This is my second Columbia rain jacket as I have another one in the color of watermelon. I would like one in every color. The fit is perfect, the hood stays in place instead of falling over your eyes, and those Velcro tabs really work. Best of all…..it keeps you dry. Recently I had to walk three blocks in a torrential down pour and my top half did not get wet!",8 months ago
ROSAFARI,5,"This is the perfecr, lighweight, easy to pack, rain jacket,.for safari and photo expeditions into the rain forest",8 months ago
n/a,5,"Fits well, comfortable, applicable for all-weather!",8 months ago
Elaine,5,Very comfortable. I ordered large but probably could have got away with a medium. I love the colour!,8 months ago
swhe,5,"lightweight, stylish, comfortable, love the hood!!",8 months ago
CKB,5,Purchased this for an Alaskan cruise in August. I think it will be perfect. I usually like XL..but with no stretch exchanged for XXL so i can wear layers underneath. I think i will get much use from this jacket. Great quality and love the color,8 months ago
Bevgo,5,"Light weight, beautiful color, fits well. Haven't had a chance to wear it in the rain yet but material feels like it wouldn't absorb the rain. I will likely wear it as a light windbreaker even when it is not raining. Love that it blends in with the environment so I can wear it while photographing in nature.",8 months ago
Mara555,5,This is the perfect lightweight rain jacket with a hood. Great for warm weather or could be layered underneath for cooler days. It's adjustable along the waist and the sleeve cuffs. It comes in a variety of colors. Packs easily for travel.,8 months ago
Pam P.,5,Wonderful rain jacket! It is lightweight but durable and very comfortable even in the summer heat.,9 months ago
Violet S.,5,"I am thrilled with the quality, fit and style of this jacket. I got the Dark Sapphire and it is a perfect shade that is somewhat neutral/versatile and will combine well with the warmer, earthy, golden tones I tend to wear. I plan to take this on a Spring trip to Japan, I just can tell it will travel well and do what it’s supposed to do in rain and wind. The length is great - not too short like so many windbreaker jackets. I am size 4-6 with somewhat broad shoulders. The small fits perfectly, roomy enough but still looks flattering. Excellent detailing too, a smart wardrobe piece. Well done, Columbia!",10 months ago
Heather G,5,"Nice light rain jacket, I was looking for something not bulky, easy to pack down and 100% waterproof. This jacket nails is on all points for me and the blue color is great imo.",11 months ago
Louise,5,Haven't worn it in the rain yet but fits well and LOVE the color!!,11 months ago
Nahide,5,"I liked very much this raincoat. I bought three this year. The colourscare so beatiful, so you can not choose only one. I will wear spring and autumn.",11 months ago
Washington Mom,5,I love the color and fit of this jacket. I've had many different rain jackets but this one isn't too warm and keeps me dry,a year ago
Seaside,5,"Nice length, not too short. Lightweight and room enough to add layers. Love the colour.",a year ago
Lynda M,5,"I bought this coat for golf. Loved it so much that I was wearing it every day, so I came back and bought a second one. Now I can leave one in my golf bag and never get caught without one.",a year ago
Laurie,5,bought as gift and came in a few days as promised.,a year ago
Chanel,5,"[This review was collected as part of a promotion.] Love this jacket! It’s lightweight, super comfortable and looks great! Highly recommend!",a year ago
G’ma Joan,5,"This jacket is perfect for rainy, windy weather. It keeps me dry and looks good.",a year ago
Jessica,5,"[This review was collected as part of a promotion.] I love this jacket. I got it in a size large, which I am definitely happy about. I can wear a hoodie or sweatshirt underneath without feeling restriction!",a year ago
Agustina,5,[This review was collected as part of a promotion.] Comfortable jacket. Protect the wind special in windy day.,a year ago
SDS,5,All of my coworkers have this raincoat and I was always stealing theirs on days with heavy rain ( we are outside a lot for our job). I decided to invest in my own since I’ve been enjoying theirs for years!,a year ago
Richard,5,I have a rain jacket from Columbia and love it. It is light weight and convenient. My wife uses it some . So I decided to buy one for her. She loves it and glad I got got the same brand.,a year ago
J Massey,5,This is the perfect rain protection. It protects nicely from the rain and is a great windbreaker otherwise. Feels good and looks good.,a year ago
Columbia Fan,5,"I bought this jacket in preparation for a trip to theme parks where I anticipated getting drenched on water rides. It is extremely light weight while still being surprisingly warm. This has become my favorite jacket that I wear all winter long. If the temperature really drops, I wear another jacket underneath. The densely woven fabric will keep you warm while the inner layer of mesh keeps you dry. This really has become my favorite jacket. I now own three, just to have them in multiple colors.",a year ago
Alley,5,"Great, reliable material. Shipped quickly. Fits perfectly!",a year ago
Sheska,5,"Really good product. If you are a large, order it XL because is a little tight.",a year ago
Mom,5,The jacket fits true to size. My teenage daughter loves the dark blue color it’s beautiful.,a year ago
CC,5,"Good price and good quality. Have only worn in light rain and it does its job! I wish the hood could be adjusted. Otherwise, just what I was looking for!",a year ago
